packet_index,symbol_index,gt_bin,savaux_bin,nus_null_bin,savaux_correct,nus_null_correct,changed,fix,break,activated,sensed_delta_bin,sensed_stability,alternative_bin,savaux_glrt,alternative_glrt,savaux_nullability,alternative_nullability,dataset,snr_db,seed,echo_delay_samples
2,6,89,81,89,0,1,1,1,0,1,-8,24.947738340191417,89,0.08230270660754517,0.10310308004691127,0.5230469115201903,0.5184933135786134,0_0_0_10_14_16,-20.0,44,32
2,7,713,713,713,1,1,0,0,0,1,-8,24.947738340191417,721,0.13976276843856816,0.0037423173083306373,0.5256700671073061,0.5230468626862969,0_0_0_10_14_16,-20.0,44,32
2,8,865,857,857,0,0,0,0,0,1,-8,24.947738340191417,865,0.16266061336601212,0.10750768627575334,0.5184933928497079,0.5126165549954868,0_0_0_10_14_16,-20.0,44,32
2,9,492,492,492,1,1,0,0,0,1,-8,24.947738340191417,500,0.09333891448570636,0.0076694250672027404,0.5039385924873511,0.49850026538071635,0_0_0_10_14_16,-20.0,44,32
2,10,765,757,757,0,0,0,0,0,1,-8,24.947738340191417,765,0.09034202292684555,0.07362178873815313,0.4979284613185229,0.49453720657165595,0_0_0_10_14_16,-20.0,44,32
2,11,1023,1023,1023,1,1,0,0,0,1,-8,24.947738340191417,7,0.10912574291431158,0.005934955633165109,0.4940609415771223,0.4187755745663952,0_0_0_10_14_16,-20.0,44,32
2,12,597,597,597,1,1,0,0,0,1,-8,24.947738340191417,605,0.12201148554528544,0.0014194563819663717,0.5209795328613301,0.5156726285813555,0_0_0_10_14_16,-20.0,44,32
2,13,562,562,562,1,1,0,0,0,1,-8,24.947738340191417,570,0.08869762725785255,0.0013017404185334809,0.5206652619186204,0.5244436040903206,0_0_0_10_14_16,-20.0,44,32
2,14,478,478,478,1,1,0,0,0,1,-8,24.947738340191417,486,0.09027990871420334,0.006367127819526364,0.514926531914235,0.5086360924589353,0_0_0_10_14_16,-20.0,44,32
2,15,267,259,259,0,0,0,0,0,1,-8,24.947738340191417,267,0.11360160394327619,0.09083451593187931,0.4935985013443069,0.49466838903820576,0_0_0_10_14_16,-20.0,44,32
2,16,917,917,917,1,1,0,0,0,1,-8,24.947738340191417,925,0.08129035502612311,0.008415115307407392,0.49938339528957343,0.5050511528288352,0_0_0_10_14_16,-20.0,44,32
2,17,656,648,648,0,0,0,0,0,1,-8,22.468441983983464,656,0.13187375306748786,0.06705688889902707,0.4939594892832399,0.4966118348574097,0_0_0_10_14_16,-20.0,44,32
2,18,889,889,889,1,1,0,0,0,1,-8,22.468441983983464,897,0.0936848755019206,0.00014420519201026644,0.4959526044719446,0.4937468180020137,0_0_0_10_14_16,-20.0,44,32
2,19,510,510,510,1,1,0,0,0,1,-8,22.468441983983464,518,0.08969193739379504,0.0014044785930548663,0.49427907285239253,0.49368997794979746,0_0_0_10_14_16,-20.0,44,32
2,20,860,860,860,1,1,0,0,0,1,-8,22.468441983983464,868,0.07213729484100047,0.00706110592638628,0.5164039931256337,0.5102366712249385,0_0_0_10_14_16,-20.0,44,32
2,21,553,553,553,1,1,0,0,0,1,-8,22.468441983983464,561,0.08438426633216504,0.003775157039330973,0.5145162505505466,0.5200661786153581,0_0_0_10_14_16,-20.0,44,32
2,22,629,621,621,0,0,0,0,0,1,-8,22.468441983983464,629,0.11174078633994326,0.0924467904643487,0.5031915460149945,0.4979285176433015,0_0_0_10_14_16,-20.0,44,32
2,23,759,759,759,1,1,0,0,0,1,-8,22.468441983983464,767,0.1402934692609735,0.009404412909826397,0.49687548037406915,0.4940609226366458,0_0_0_10_14_16,-20.0,44,32
2,24,874,874,874,1,1,0,0,0,1,-8,22.468441983983464,882,0.11177591931918375,0.004934598299784907,0.5054713111021503,0.499726180523505,0_0_0_10_14_16,-20.0,44,32
2,25,720,720,720,1,1,0,0,0,1,-8,22.468441983983464,728,0.16298002225226704,0.0005585861347350051,0.5234899263813441,0.5191498114683207,0_0_0_10_14_16,-20.0,44,32
2,26,314,314,314,1,1,0,0,0,1,-8,22.468441983983464,322,0.0999674830393984,0.008534556651091338,0.524443520468808,0.5261123442906313,0_0_0_10_14_16,-20.0,44,32
