payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
23,759,759,759,1,1,0,1,1,1,1,1,0.07579746324336778,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
24,874,517,517,6,54,-48,1,0,0,0,1,0.09983480101136348,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
25,720,720,720,1,1,0,1,1,1,1,1,0.06118817732665239,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
26,314,314,314,1,1,0,1,1,1,1,1,0.08112825989404919,tau0_slope0,timing,0_0_0_10_14_8,-25.0,4
27,602,602,996,1,2,-1,1,1,1,0,1,0.07462485090685544,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,4
28,7,7,7,1,1,0,1,1,1,1,1,0.07049072799412653,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
29,610,610,610,1,1,0,1,1,1,1,1,0.06933805548385222,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,4
30,855,855,855,1,1,0,1,1,1,1,1,0.0882445821457146,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,4
31,897,897,897,1,1,0,1,1,1,1,1,0.10627456571584906,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,4
32,756,756,756,1,1,0,1,1,1,1,1,0.11216673440571549,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
33,580,539,539,2,2,0,1,1,0,0,1,0.0543313451119283,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
34,89,89,89,1,1,0,1,1,1,1,1,0.07921587362308273,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
0,222,222,222,1,1,0,1,1,1,1,1,0.1726961151747331,tau0_slope0,timing,0_0_0_10_14_8,-25.0,5
1,711,711,711,1,1,0,1,1,1,1,1,0.11361001000164105,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,5
2,922,820,392,10,59,-49,0,0,0,0,1,0.07324411949045675,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,5
3,691,691,691,1,1,0,1,1,1,1,1,0.2056793698365619,tau0_slope0,timing,0_0_0_10_14_8,-25.0,5
4,107,107,107,1,1,0,1,1,1,1,1,0.10514860970534447,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,5
5,467,231,763,2,5,-3,1,1,0,0,1,0.05282968291219691,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,5
6,89,89,89,1,1,0,1,1,1,1,1,0.06172047943355046,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,5
