trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,wrong_symbol,c_1m_true,c_1m_wrong,delta_c_1m,c_multirate_true,c_multirate_wrong,delta_c_multirate,ratio_variance_true,ratio_variance_wrong,delta_wrong_minus_true_ratio_variance,c_1m_true_wins,c_multirate_true_wins,true_ratio_variance_is_lower
10:20260821:129,10.0,20260821,129,exp0_000005_rxg20_0_fulltrim,5,6,3165,3622,1,27,0,0,0,7.474616020142153e-08,3.061602721850226e-05,3622,-0.02545456892465771,-0.0020095054360532304,-0.02344506348860448,-0.07065644221766226,-0.007791604153526478,-0.06286483806413579,2.449708869331507e-05,2.3892542548957567e-05,-6.045461443575008e-07,0,0,0
10:20260821:130,10.0,20260821,130,exp0_000005_rxg20_0_fulltrim,5,7,1669,9,1,23,0,0,0,7.21146055350827e-08,2.953814242716987e-05,9,-0.029680910675701822,-0.00022471324870388897,-0.029456197426997933,-0.08578143686055391,-0.0004145842780673028,-0.08536685258248661,5.332417022002476e-06,4.645252335355948e-05,4.1120106331557e-05,0,0,1
10:20260821:131,10.0,20260821,131,exp0_000005_rxg20_0_fulltrim,5,8,1169,234,1,17,0,0,0,7.319520731070152e-08,2.9980756914463342e-05,234,-0.007084431927486385,-0.0004093356616582402,-0.006675096265828144,-0.021742538711662072,-0.0012835757498082347,-0.020458962961853837,5.25628842651986e-06,3.6047362518389394e-06,-1.6515521746809204e-06,0,0,0
10:20260821:132,10.0,20260821,132,exp0_000005_rxg20_0_fulltrim,5,9,665,666,1,25,0,0,0,7.108724047885675e-08,2.9117333700139725e-05,666,-0.00010983781860604224,-0.0022150682146860967,0.0021052303960800546,-0.00031360181797928017,-0.006689262071470986,0.006375660253491706,9.608183988097624e-06,4.503897621607324e-06,-5.104286366490299e-06,1,1,0
10:20260821:134,10.0,20260821,134,exp0_000005_rxg20_0_fulltrim,5,11,993,1132,1,7,0,1,1,7.257523556474177e-08,2.9726816487318226e-05,1132,-0.03961289397392139,-2.1271094784240515e-05,-0.03959162287913715,-0.11452586845579472,-0.0002833766941690026,-0.11424249176162572,8.848761219213157e-06,1.0644901279842989e-05,1.7961400606298314e-06,0,0,1
10:20260821:136,10.0,20260821,136,exp0_000005_rxg20_0_fulltrim,5,13,1333,623,1,104,0,0,0,7.129279860818548e-08,2.9201530309912774e-05,623,-0.016710108399151283,-0.0009846307591282904,-0.01572547764002299,-0.049205000564000075,-0.002381638935853127,-0.046823361628146945,6.137021389485731e-06,1.2546108593596724e-05,6.409087204110993e-06,0,0,1
10:20260821:137,10.0,20260821,137,exp0_000005_rxg20_0_fulltrim,5,14,2681,380,1,6,0,1,1,7.219362232585112e-08,2.957050770466862e-05,380,-0.002436121315264945,-0.0001351600179665185,-0.0023009612972984266,-0.007552712762735263,-0.0007031140177811248,-0.006849598744954138,3.759343248125597e-06,5.961868554764748e-06,2.2025253066391505e-06,0,0,1
10:20260821:138,10.0,20260821,138,exp0_000005_rxg20_0_fulltrim,5,15,1101,49,1,195,0,0,0,7.42442024293012e-08,3.041042531504177e-05,49,-0.006695617164762617,-0.00016646957043226187,-0.006529147594330355,-0.02150703872451129,-0.0008064160921452734,-0.020700622632366016,7.915303836956865e-06,5.824228080404928e-06,-2.0910757565519376e-06,0,0,0
10:20260821:140,10.0,20260821,140,exp0_000005_rxg20_0_fulltrim,5,17,1489,711,1,3,1,1,1,7.449941647545796e-08,3.051496098834758e-05,711,-0.0006480675650531936,-0.007425609580158888,0.006777542015105694,-0.001551554854195665,-0.022337048588188125,0.02078549373399246,4.3404240193863275e-06,1.468475118078924e-07,-4.193576507578435e-06,1,1,0
10:20260821:141,10.0,20260821,141,exp0_000005_rxg20_0_fulltrim,5,18,2549,530,1,3,1,1,1,7.155321407299494e-08,2.930819648429873e-05,530,-0.032539895012068894,-0.0008854279342167129,-0.03165446707785218,-0.09548611918728218,-0.0034002511939020996,-0.09208586799338009,5.539557284514418e-06,8.37003219356056e-06,2.830474909046141e-06,0,0,1
