dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_8,-22.0,10,0.6628571428571428,0.33714285714285713,0.0,0.18857142857142856,0.8114285714285716,0.3,0.18285714285714286,0.8171428571428573,0.3,0.48,0.3,0.0057142857142856995,0.0,0.44000000000000006,0.0,0.8885912698412698,0.8327403026009342,0.24871470879275653
0_0_0_10_14_8,-23.0,10,0.7942857142857143,0.20571428571428568,0.0,0.33428571428571424,0.6657142857142857,0.0,0.32571428571428573,0.6742857142857143,0.0,0.4685714285714285,0.0,0.008571428571428508,0.0,0.3028571428571428,0.004545454545454545,0.8239599426506448,0.9037182573533696,0.2746260717300258
0_0_0_10_14_8,-24.0,10,0.86,0.13999999999999999,0.0,0.49428571428571433,0.5057142857142857,0.0,0.49142857142857144,0.5085714285714286,0.0,0.36857142857142855,0.0,0.0028571428571428914,0.0,0.17999999999999997,0.0375,0.7042533865038609,0.8753988907568198,0.3066424422758135
0_0_0_10_14_8,-25.0,10,0.9200000000000002,0.08000000000000002,0.0,0.6542857142857142,0.34571428571428575,0.0,0.6514285714285715,0.34857142857142864,0.0,0.2685714285714287,0.0,0.0028571428571427804,0.0,0.07428571428571427,0.125,0.5839817117058169,0.7863054104661376,0.37700318800232524
0_0_0_10_14_8,-26.0,10,0.9571428571428571,0.04285714285714287,0.0,0.7857142857142858,0.21428571428571427,0.0,0.7828571428571429,0.21714285714285714,0.0,0.17428571428571416,0.0,0.0028571428571428914,0.0,0.04571428571428572,0.07333333333333333,0.44233825788379877,0.7247185205339385,0.36592933155638174
0_0_0_10_14_16,-12.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9142857142857143,0.0,0.18181818181818182,0.9863820849690433,0.11657334126872518
0_0_0_10_14_16,-13.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9194805194805195,0.0,0.18181818181818182,0.9855793910477779,0.11958564750295143
0_0_0_10_14_16,-14.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9142857142857143,0.0,0.2727272727272727,0.9854256760503213,0.12167407854907357
0_0_0_10_14_16,-15.0,11,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.09090909090909094,0.0,0.0,0.9298701298701298,0.0,0.2727272727272727,0.9819823623604033,0.11403787851220372
0_0_0_10_14_16,-16.0,11,0.01038961038961039,0.9896103896103896,0.8181818181818182,0.0,1.0,1.0,0.0,1.0,1.0,0.01038961038961039,0.18181818181818177,0.0,0.0,0.9298701298701298,0.0,0.2727272727272727,0.9817787559131234,0.11650494598523245
0_0_0_10_14_16,-17.0,11,0.04675324675324675,0.9532467532467532,0.45454545454545453,0.0,1.0,1.0,0.0,1.0,1.0,0.04675324675324675,0.5454545454545454,0.0,0.0,0.9298701298701298,0.0,0.2727272727272727,0.9815226643862079,0.11940535360788275
