raw_fft_bin,trial_count,groundtruth_count,savaux_lambda_mean,savaux_lambda_median,colored_ml_lambda_mean,colored_ml_lambda_median,colored_minus_savaux_lambda_mean,model_full_to_savaux_snr_gain_db_mean,gt_savaux_lambda_mean,gt_colored_ml_lambda_mean
556,392,0,1.1180190880606498,0.6682323217391968,1.1509902983437927,0.6509074568748474,0.03297121028314293,0.14828739874064922,,
557,392,0,1.0961165891420357,0.7311040759086609,1.091151459218592,0.7243959605693817,-0.00496512992344369,0.1515345685184002,,
558,392,0,1.1528757144792043,0.6363877356052399,1.1727792599228952,0.6554596722126007,0.019903545443690857,0.15461155585944653,,
559,392,0,1.1735788815125006,0.6855666041374207,1.1569393772764929,0.7274168133735657,-0.016639504236007602,0.15748917870223522,,
560,392,0,1.0266012479871873,0.6074215471744537,1.0501100100221321,0.6283751726150513,0.023508762034944827,0.16013738699257374,,
561,392,0,1.106661149550319,0.6356184482574463,1.141973019979745,0.6163714528083801,0.03531187042942608,0.1625503972172737,,
562,392,8,2.603415335228605,0.6818066835403442,2.7040083942226874,0.6503769159317017,0.10059305899408266,0.16473477892577648,75.77852439880371,79.06412935256958
563,392,0,1.1017585836961357,0.6693832874298096,1.106828382852265,0.6757579445838928,0.005069799156129248,0.16667416132986546,,
564,392,0,1.1199971150532033,0.7267337143421173,1.1266888317210144,0.6825294196605682,0.006691716667811139,0.16837909072637558,,
565,392,0,1.250363926139508,0.768368124961853,1.2687518140324867,0.7557521760463715,0.018387887892978533,0.1698542982339859,,
566,392,0,1.1430073619626548,0.7580378949642181,1.1395872913874752,0.7306573987007141,-0.00342007057517957,0.17110520228743553,,
567,392,0,1.1548978689018126,0.6418953537940979,1.1649239124179038,0.6730780601501465,0.010026043516091352,0.17212691344320774,,
568,392,0,1.0457963979249458,0.56875079870224,1.052359121089578,0.6464336514472961,0.006562723164631966,0.17294067330658436,,
569,392,0,1.1685513684565287,0.6848647892475128,1.1727310450701875,0.7049008905887604,0.004179676613658762,0.173547625541687,,
