dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,structured_path_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,structured_gain_vs_traditional_fft,savaux_gain_vs_current,structured_gain_vs_current,structured_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,structured_path_crc_valid,path_override_count,path_fix_count,path_break_count,mean_path_ratio,mode_best_path_name,winner_by_symbol_ser
0_0_0_10_14_16,-22.0,9,6,9,33,35,0.7428571428571429,0.11428571428571428,0.0,0.02857142857142857,0.02857142857142857,0.7428571428571429,0.7142857142857143,0.7142857142857143,-0.02857142857142857,-0.02857142857142857,0.0,0,0,1,0,0,0,0,0,2.3153188955698774,piece1of2_23,current_selected
0_0_0_10_14_16,-22.0,10,7,10,33,35,0.7428571428571429,0.14285714285714285,0.05714285714285714,0.0,0.0,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.05714285714285714,0.05714285714285714,0.0,0,0,0,1,1,0,0,0,2.313470883222069,piece1of2_21,savaux_paper
0_0_0_10_14_16,-22.0,11,8,11,33,35,0.6,0.08571428571428572,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0,0,1,1,1,0,0,0,2.350169760131296,piece1of2_30,current_selected
0_0_0_10_14_16,-22.0,12,9,12,33,35,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0,1,1,1,1,0,0,0,2.132009876866565,linear_a3_b1,multi_offset_argmax
0_0_0_10_14_16,-22.0,13,10,13,33,35,0.4857142857142857,0.0,0.0,0.0,0.0,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.0,0.0,0.0,0,1,1,1,1,0,0,0,2.339151355218293,linear_a2_b2,multi_offset_argmax
0_0_0_10_14_16,-23.0,1,0,1,33,35,0.8857142857142857,0.4857142857142857,0.34285714285714286,0.14285714285714285,0.14285714285714285,0.5428571428571428,0.7428571428571429,0.7428571428571429,0.2,0.2,0.0,0,0,0,0,0,0,0,0,2.5916993761399563,piece1of2_03,savaux_paper
0_0_0_10_14_16,-23.0,2,1,2,33,35,0.8571428571428571,0.5714285714285714,0.22857142857142856,0.11428571428571428,0.11428571428571428,0.6285714285714286,0.7428571428571428,0.7428571428571428,0.11428571428571428,0.11428571428571428,0.0,0,0,0,0,0,0,0,0,2.684218610405266,linear_a1_b2,savaux_paper
0_0_0_10_14_16,-23.0,3,2,3,33,35,0.8857142857142857,0.45714285714285713,0.2,0.08571428571428572,0.08571428571428572,0.6857142857142857,0.7999999999999999,0.7999999999999999,0.1142857142857143,0.1142857142857143,0.0,0,0,0,0,0,0,0,0,2.491933115768184,piece1of4_12,savaux_paper
0_0_0_10_14_16,-23.0,5,3,5,33,35,0.8857142857142857,0.2571428571428571,0.14285714285714285,0.08571428571428572,0.08571428571428572,0.7428571428571429,0.7999999999999999,0.7999999999999999,0.057142857142857134,0.057142857142857134,0.0,0,0,0,0,0,0,0,0,2.4284485343422277,linear_a3_b0,savaux_paper
0_0_0_10_14_16,-23.0,6,4,6,33,35,0.8571428571428571,0.34285714285714286,0.14285714285714285,0.02857142857142857,0.0,0.7142857142857142,0.8285714285714285,0.8571428571428571,0.11428571428571428,0.14285714285714285,0.02857142857142857,0,0,0,0,1,1,1,0,2.320291338343763,linear_a1_b1,structured_path
