payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index,packet_timing_tau0,packet_timing_slope
26,314,314,314,1,1,0,1,1,1,1,1,0.06827453888905757,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
27,602,602,602,1,1,0,1,1,1,1,1,0.09683014587196753,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
28,7,7,7,1,1,0,1,1,1,1,1,0.03504926975166292,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
29,610,610,610,1,1,0,1,1,1,1,1,0.05526319362653118,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
30,887,887,887,1,1,0,1,1,1,1,1,0.041506862017190345,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
31,912,912,912,1,1,0,1,1,1,1,1,0.06100792848518675,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
32,737,737,737,1,1,0,1,1,1,1,1,0.059053060367065084,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
33,577,577,577,1,1,0,1,1,1,1,1,0.02762449442833865,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
34,930,930,930,1,1,0,1,1,1,1,1,0.03973673871499333,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,3,0.5,-0.5
0,803,803,803,1,1,0,1,1,1,1,1,0.09470298093291543,packet_tau-0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,4,-0.5,0.5
1,826,826,826,1,1,0,1,1,1,1,1,0.0254706398812647,packet_tau-0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,4,-0.5,0.5
2,871,871,871,1,1,0,1,1,1,1,1,0.077250193484659,packet_tau-0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,4,-0.5,0.5
3,718,617,617,2,12,-10,1,0,0,0,1,0.027868990305582736,packet_tau-0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,4,-0.5,0.5
4,107,107,107,1,1,0,1,1,1,1,1,0.029370270166111583,packet_tau-0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,4,-0.5,0.5
5,467,467,467,1,1,0,1,1,1,1,1,0.05014595833549449,packet_tau-0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,4,-0.5,0.5
6,89,89,89,1,1,0,1,1,1,1,1,0.05511089768683315,packet_tau-0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,4,-0.5,0.5
