dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_stage1_top40_raw,gt_in_actual_viterbi_candidates_raw,stage1_topk_size,actual_viterbi_candidate_count,effective_top_l,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi,category,gt_local_score,selected_local_score,local_score_delta_gt_minus_selected,lock_active
0_0_0_10_14_16,-26.0,42,5,14,478,478,478,477,477,477,1,1,40,16,16,0,0,4,0.41464701669611376,A_savaux_ok_phase_ok,1.0367710644506982,1.0367710644506982,0.0,0
0_0_0_10_14_16,-26.0,42,5,15,267,267,267,266,266,266,1,1,40,4,16,0,1,4,0.41464701669611376,A_savaux_ok_phase_ok,1.0347802356069153,1.0347802356069153,0.0,1
0_0_0_10_14_16,-26.0,42,5,16,917,917,917,916,916,916,1,1,40,4,16,0,1,4,0.41464701669611376,A_savaux_ok_phase_ok,1.0379683927445884,1.0379683927445884,0.0,1
0_0_0_10_14_16,-26.0,42,5,17,656,656,656,655,655,655,1,1,40,4,16,1,1,4,0.41464701669611376,A_savaux_ok_phase_ok,0.8804258285212933,0.8804258285212933,0.0,1
0_0_0_10_14_16,-26.0,42,5,18,889,889,889,888,888,888,1,1,40,16,16,0,0,4,0.41464701669611376,A_savaux_ok_phase_ok,1.0546484630460704,1.0546484630460704,0.0,0
0_0_0_10_14_16,-26.0,42,5,19,510,261,214,509,260,213,1,1,40,16,16,0,0,4,0.41464701669611376,E1_gt_in_candidates_local_score_loss,0.7289780207361138,0.8148710400786793,-0.08589301934256544,0
0_0_0_10_14_16,-26.0,42,5,20,860,860,860,859,859,859,1,1,40,16,16,0,0,4,0.41464701669611376,A_savaux_ok_phase_ok,0.8836886451706816,0.8836886451706816,0.0,0
0_0_0_10_14_16,-26.0,42,5,21,553,553,553,552,552,552,1,1,40,16,16,0,0,4,0.41464701669611376,A_savaux_ok_phase_ok,0.8717731635521029,0.8717731635521029,0.0,0
0_0_0_10_14_16,-26.0,42,5,22,629,629,629,628,628,628,1,1,40,16,16,0,0,4,0.41464701669611376,A_savaux_ok_phase_ok,0.8834096546447004,0.8834096546447004,0.0,0
0_0_0_10_14_16,-26.0,42,5,23,759,601,601,758,600,600,1,1,40,16,16,0,0,4,0.41464701669611376,E1_gt_in_candidates_local_score_loss,0.6250482869254746,0.9822267931583419,-0.3571785062328673,0
