dataset,snr_db,seed,packet_index,payload_symbol_index,scope,dimension,snapshots,diagonal_loading,diagonal_cv,mean_abs_correlation,max_abs_correlation,condition_number
0_0_0_10_14_32,-26.0,42,5,9,symbol_null,4,1000,0.05,0.028459170227093086,0.020638406406910056,0.04196875557657445,1.1442467295742025
0_0_0_10_14_32,-26.0,42,5,10,symbol_null,4,1000,0.05,0.024962488052818723,0.033607785617322146,0.04708201049946644,1.1744287128197293
0_0_0_10_14_32,-26.0,42,5,11,symbol_null,4,1000,0.05,0.027100371333866786,0.02077161101136133,0.04416836586405867,1.1496970669612128
0_0_0_10_14_32,-26.0,42,5,12,symbol_null,4,1000,0.05,0.013568992411053811,0.024613874181051876,0.038439349503829476,1.1351633485114523
0_0_0_10_14_32,-26.0,42,5,13,symbol_null,4,1000,0.05,0.038728718352510724,0.024938121227958247,0.037144447725553656,1.180605477389484
0_0_0_10_14_32,-26.0,42,5,14,symbol_null,4,1003,0.05,0.005615989508262641,0.02204135128112372,0.04033888924104796,1.122339620985269
0_0_0_10_14_32,-26.0,42,5,15,symbol_null,4,1000,0.05,0.0291403547033771,0.027930765933179013,0.05453305734327227,1.1917308727200866
0_0_0_10_14_32,-26.0,42,5,16,symbol_null,4,1000,0.05,0.025614714272498763,0.02652865941805112,0.047730798467009734,1.1725417327634626
0_0_0_10_14_32,-26.0,42,5,17,symbol_null,4,1000,0.05,0.017589326790124517,0.028834990814426715,0.05883133036680149,1.1760714808935568
0_0_0_10_14_32,-26.0,42,5,18,symbol_null,4,1000,0.05,0.027997056081890688,0.018477011454713643,0.03730262050715089,1.1346836071704072
0_0_0_10_14_32,-26.0,42,5,19,symbol_null,4,1000,0.05,0.01578594447095065,0.03841179413213406,0.08014785962191856,1.2274295028106537
0_0_0_10_14_32,-26.0,42,5,20,symbol_null,4,1000,0.05,0.02400410473598153,0.027835295972390813,0.04491119992788065,1.1661555964266968
0_0_0_10_14_32,-26.0,42,5,21,symbol_null,4,1000,0.05,0.024108441333599327,0.02453755026496958,0.03942586922616161,1.1512336060762058
0_0_0_10_14_32,-26.0,42,5,22,symbol_null,4,1000,0.05,0.0342945273130658,0.03275208747377357,0.05204667426794495,1.2047310179088135
0_0_0_10_14_32,-26.0,42,5,23,symbol_null,4,1000,0.05,0.0038137936152712265,0.024917309605119353,0.05839291397743565,1.162432508546831
0_0_0_10_14_32,-26.0,42,5,24,symbol_null,4,1000,0.05,0.03065639168354038,0.03282094537141266,0.04932450756365458,1.2077412564869643
0_0_0_10_14_32,-26.0,42,5,25,symbol_null,4,1000,0.05,0.023445730851972144,0.024588031083685898,0.04502837310625608,1.1422865846241668
0_0_0_10_14_32,-26.0,42,5,26,symbol_null,4,1000,0.05,0.025532141961683737,0.03431711273583146,0.046961558039719374,1.203850252137022
0_0_0_10_14_32,-26.0,42,5,27,symbol_null,4,1000,0.05,0.03554482675967467,0.026773203744703964,0.040569839229051226,1.1724063648765761
0_0_0_10_14_32,-26.0,42,5,28,symbol_null,4,1000,0.05,0.02706073232136196,0.0320877448838728,0.05321100828132594,1.2025680781730623
0_0_0_10_14_32,-26.0,42,5,29,symbol_null,4,1000,0.05,0.017544765059857474,0.038276965871513864,0.04590702932936041,1.1938477954039979
0_0_0_10_14_32,-26.0,42,5,30,symbol_null,4,1000,0.05,0.014411082864520572,0.028608835848355902,0.04913881162506252,1.1516740075841674
0_0_0_10_14_32,-26.0,42,5,31,symbol_null,4,1000,0.05,0.04987519530532014,0.0388428147397768,0.05381696006953858,1.2601423035776655
0_0_0_10_14_32,-26.0,42,5,32,symbol_null,4,1000,0.05,0.02967923099822418,0.029492433875700958,0.05548553199134968,1.180815728711295
0_0_0_10_14_32,-26.0,42,5,33,symbol_null,4,1000,0.05,0.025462612282273242,0.027713769842728456,0.04213004359799645,1.172528998480674
0_0_0_10_14_32,-26.0,42,5,34,symbol_null,4,1001,0.05,0.019693847455730166,0.023415473201595278,0.03787399016045414,1.1392559145001921
0_0_0_10_14_32,-26.0,42,6,,packet_null,4,35008,0.05,0.0031512625951540638,0.009563516539186353,0.012175831484368679,1.0487104100342466
0_0_0_10_14_32,-26.0,42,6,0,symbol_null,4,1000,0.05,0.02571432344412194,0.020821117014956116,0.035640113994216224,1.13818487005993
0_0_0_10_14_32,-26.0,42,6,1,symbol_null,4,1000,0.05,0.017817100517656996,0.037337276152755845,0.06234346891811539,1.2071446804051194
0_0_0_10_14_32,-26.0,42,6,2,symbol_null,4,1000,0.05,0.02121108869896365,0.02722249328678747,0.03888259580354578,1.1490681728434988
