packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
3,34,930,930,1,1,1,1,1.759053055043408,8.915966165116114,0.9577874914719097,930,1,hit,930,1,hit,930,1,hit,930,1,hit,930,1,hit,930,1,hit,0_0_0_10_14_16,-22.0
5,0,222,909,1,16,1,16,0.3158970287257338,6.135829446645916,0.5804967828289722,909,0,selectable_miss,498,0,selectable_miss,924,0,selectable_miss,498,0,selectable_miss,498,0,selectable_miss,498,0,selectable_miss,0_0_0_10_14_16,-22.0
5,1,826,826,1,1,1,1,1.0936513571588993,6.898475907193,0.9005682524930355,826,1,hit,826,1,hit,827,0,selectable_miss,826,1,hit,826,1,hit,826,1,hit,0_0_0_10_14_16,-22.0
5,2,871,871,1,1,1,1,0.7711210076813829,6.914523910972043,0.9748629837844706,871,1,hit,871,1,hit,230,0,selectable_miss,871,1,hit,871,1,hit,871,1,hit,0_0_0_10_14_16,-22.0
5,3,718,718,1,1,1,1,1.2728721039639155,7.326104274370685,0.8960823227087381,718,1,hit,718,1,hit,609,0,selectable_miss,718,1,hit,718,1,hit,718,1,hit,0_0_0_10_14_16,-22.0
5,4,86,86,1,1,1,1,0.3259441244957875,6.398955238496892,0.9548102846737754,86,1,hit,86,1,hit,189,0,selectable_miss,86,1,hit,86,1,hit,86,1,hit,0_0_0_10_14_16,-22.0
5,5,468,468,1,1,1,1,0.7526154002988216,6.100306567310794,0.9579972646618249,468,1,hit,468,1,hit,567,0,selectable_miss,468,1,hit,468,1,hit,468,1,hit,0_0_0_10_14_16,-22.0
5,6,89,89,1,1,1,1,0.7752401992828534,5.908877361136312,0.9404942900784157,89,1,hit,89,1,hit,215,0,selectable_miss,89,1,hit,89,1,hit,89,1,hit,0_0_0_10_14_16,-22.0
5,7,713,713,1,1,1,1,1.3383814724172238,6.717352354065985,0.9628190343530096,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,0_0_0_10_14_16,-22.0
5,8,865,865,1,1,1,1,3.104307147255294,8.853480275487183,0.9905773933779007,865,1,hit,865,1,hit,865,1,hit,865,1,hit,865,1,hit,865,1,hit,0_0_0_10_14_16,-22.0
5,9,492,492,1,1,1,1,2.5163520628258613,7.392011812372239,0.9723011748540505,492,1,hit,492,1,hit,492,1,hit,492,1,hit,492,1,hit,492,1,hit,0_0_0_10_14_16,-22.0
5,10,765,765,1,1,1,1,0.5986055399626837,6.615394975630843,0.9706770602884808,765,1,hit,765,1,hit,765,1,hit,765,1,hit,765,1,hit,765,1,hit,0_0_0_10_14_16,-22.0
