packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
3,2,3,10,7895409,7895411,2,11,4,continuous,2017,-31,504,2017,-31,504,2017,-31,504,1,1,1,1,1,1,12071.918777213432,94.2192350966252,13.485384668884706,106.324333604243
3,2,3,11,7903601,7903603,2,11,4,continuous,9,9,2,9,9,2,9,9,2,1,1,1,1,1,1,11491.016582133307,89.09850421601823,13.11609016017892,100.9472812826026
3,2,3,12,7911793,7911795,2,11,4,continuous,1369,-679,342,1369,-679,342,1369,-679,342,1,1,1,1,1,1,11431.65923528379,88.55367909102006,17.178359874535808,95.32678790223383
3,2,3,13,7919985,7919987,2,11,4,continuous,1653,-395,413,1653,-395,413,1653,-395,413,1,1,1,1,1,1,9795.935545153043,75.91693922288778,14.594270304671891,83.66349056644133
3,2,3,14,7928177,7928179,2,11,4,continuous,2029,-19,507,2029,-19,507,2029,-19,507,1,1,1,1,1,1,8343.51480328018,64.92657792932368,12.118225261117955,75.45203159331379
3,2,3,15,7936369,7936371,2,11,4,continuous,169,169,42,169,169,42,169,169,42,1,1,1,1,1,1,8157.129034635669,63.33756899650689,12.33983086250364,73.25562532213746
3,2,3,16,7944561,7944563,2,11,4,continuous,333,333,83,333,333,83,333,333,83,1,1,1,1,1,1,8563.092607425584,66.36913889135121,12.93808797943456,75.93693524007705
3,2,3,17,7952753,7952755,2,11,4,continuous,777,777,194,777,777,194,777,777,194,1,1,1,1,1,1,11209.602863481501,87.14455819585419,15.513532217994197,96.17337906087958
3,2,3,18,7960945,7960947,2,11,4,continuous,1649,-399,412,1649,-399,412,1649,-399,412,1,1,1,1,1,1,15353.726821899414,119.33143772605399,13.642021946628395,133.07505088679414
3,2,3,19,7969137,7969139,2,11,4,continuous,293,293,73,293,293,73,293,293,73,1,1,1,1,1,1,20267.842580083758,157.46363313157872,14.120741416865153,176.076787956789
3,2,3,20,7977329,7977331,2,11,4,continuous,1161,-887,290,1161,-887,290,1161,-887,290,1,1,1,1,1,1,24889.780588600785,193.24066516471157,15.746219263713378,211.57137483277663
3,2,3,21,7985521,7985523,2,11,4,continuous,1309,-739,327,1309,-739,327,1309,-739,327,1,1,1,1,1,1,27217.31652119104,211.8066713275366,15.052821644397667,232.8004752559503
3,2,3,22,7993713,7993715,2,11,4,continuous,1685,-363,421,1685,-363,421,1685,-363,421,1,1,1,1,1,1,26097.190691862488,202.48604735411936,13.097023129282697,228.4351060564057
3,2,3,23,8001905,8001907,2,11,4,continuous,1833,-215,458,1833,-215,458,1833,-215,458,1,1,1,1,1,1,23996.560850263573,186.535024309459,12.309741664912902,214.77910017861697
3,2,3,24,8010097,8010099,2,11,4,continuous,2009,-39,502,2009,-39,502,2009,-39,502,1,1,1,1,1,1,22363.948356815614,173.9992349937611,11.682876274403087,204.1066829002276
3,2,3,25,8018289,8018291,2,11,4,continuous,969,969,242,969,969,242,969,969,242,1,1,1,1,1,1,21968.689293041825,170.6406412950173,13.604686946179378,192.92244608985135
3,2,3,26,8026481,8026483,2,11,4,continuous,1633,-415,408,1633,-415,408,1633,-415,408,1,1,1,1,1,1,19705.050663097063,153.3927426026139,12.524920289418326,175.80838733673554
3,2,3,27,8034673,8034675,2,11,4,continuous,421,421,105,421,421,105,421,421,105,1,1,1,1,1,1,16780.056410573656,130.38599595253254,12.312221479777186,150.46544194462757
